Date,Open,High,Low,Close,Volume
09/16/2022,"151.21","151.35","148.37","150.70","162,278,797"
09/15/2022,"154.65","155.24","151.38","152.37","90,481,109"
09/14/2022,"154.79","157.10","153.61","155.31","87,965,406"
09/13/2022,"159.90","160.54","153.37","153.84","122,656,602"
09/12/2022,"159.59","164.26","159.30","163.43","104,956,000"
09/09/2022,"155.47","157.82","154.75","157.37","68,081,008"
09/08/2022,"154.64","156.36","152.68","154.46","84,923,852"
09/07/2022,"154.83","156.67","153.61","155.96","87,449,570"
09/06/2022,"156.47","157.09","153.69","154.53","73,714,844"
09/02/2022,"159.75","160.36","154.97","155.81","76,957,766"
09/01/2022,"156.64","158.42","154.67","157.96","74,229,906"
08/31/2022,"160.31","160.58","157.14","157.22","87,991,086"
08/30/2022,"162.13","162.56","157.72","158.91","77,906,203"
08/29/2022,"161.15","162.90","159.82","161.38","73,313,953"
08/26/2022,"170.57","171.05","163.56","163.62","78,960,977"
08/25/2022,"168.78","170.14","168.35","170.03","51,218,207"
08/24/2022,"167.32","168.11","166.25","167.53","53,841,520"
08/23/2022,"167.08","168.71","166.65","167.23","54,147,078"
08/22/2022,"169.69","169.86","167.14","167.57","69,026,805"
08/19/2022,"173.03","173.74","171.31","171.52","70,346,305"
08/18/2022,"173.75","174.90","173.12","174.15","62,290,078"
08/17/2022,"172.77","176.15","172.57","174.55","79,542,039"
