Date,Open,High,Low,Close,Volume
09/16/2022,"299.61","303.71","295.60","303.35","87,087,789"
09/15/2022,"301.83","309.12","300.72","303.75","64,795,520"
09/14/2022,"292.24","306.00","291.64","302.61","72,628,648"
09/13/2022,"292.90","297.40","290.40","292.13","68,229,617"
09/12/2022,"300.72","305.49","300.40","304.42","48,674,602"
09/09/2022,"291.67","299.85","291.25","299.68","54,470,848"
09/08/2022,"281.30","289.50","279.76","289.26","53,713,121"
09/07/2022,"273.10","283.84","272.27","283.70","50,028,922"
09/06/2022,"272.68","275.99","265.74","274.42","55,859,980"
09/02/2022,"281.07","282.35","269.08","270.21","50,890,090"
09/01/2022,"272.58","277.58","266.15","277.16","54,287,020"
08/31/2022,"280.62","281.25","271.81","275.61","52,107,340"
08/30/2022,"287.87","288.48","272.65","277.70","50,541,762"
08/29/2022,"282.83","287.74","280.70","284.82","41,864,738"
08/26/2022,"297.43","302.00","287.47","288.09","57,163,953"
08/25/2022,"302.36","302.96","291.60","296.07","53,230,008"
08/24/2022,"297.56","303.65","296.50","297.10","57,259,708"
08/23/2022,"291.45","298.83","287.92","296.45","63,985,048"
08/22/2022,"291.91","292.40","286.30","289.91","55,843,345"
08/19/2022,"299.00","300.36","292.50","296.67","61,395,391"
08/18/2022,"306.00","306.50","301.85","302.87","47,500,529"
08/17/2022,"303.40","309.66","300.03","304.00","68,765,968"
